Incident number,Date,Title,Organization,City,State,URL,Hate Incident,New Incident,Day of Incident,Month of Incident,Year of Incident,Violent,Num Victims,Num Perp,Num Deaths,Issue Identity,Incident City,Incident State,Incident Type,Inc Intensity,Notes
1,2/13/2017,Pizza Hut driver who killed co-worker with shotgun found mentally competent,LGBTQ Nation,Phoenix,AZ,http://www.lgbtqnation.com/2017/02/man-accused-killing-co-worker-hate-crime-stands-trial/,1,0,13,7,2014,1,1,1,1,LGBT,Mecca,California,murder,4,
2,2/13/2017,Residents of NJ township receiving KKK promotional fliers,New York Daily News,,,http://www.nydailynews.com/news/national/residents-nj-township-receiving-kkk-promotional-fliers-article-1.2971317,1,1,13,2,2017,0,na,more than 1,0,"race, LGBT",Cinnaminson,New Jersey,hate mail,2,
3,2/13/2017,House OKs bill to expand Kentucky's hate crimes law,FOX19,Cincinnati,OH,http://www.fox19.com/story/34494432/house-oks-bill-to-expand-kentuckys-hate-crimes-law,0,na,na,na,na,na,na,na,na,na,na,na,bill,na,
4,2/13/2017,"Amid Protests, 'Blue Lives Matter' Bill Passes Kentucky House",89.3 WFPL,Louisville,KY,http://wfpl.org/amid-protests-blue-lives-matter-bill-passes-state-house/,0,na,na,na,na,na,na,na,na,na,na,na,bill,na,
5,2/13/2017,Lafourche inmates charged with hate crimes in jail attack,Daily Comet,Thibodaux,LA,http://www.dailycomet.com/news/20170213/lafourche-inmates-charged-with-hate-crimes-in-jail-attack,1,1,8,2,2017,1,more than 1,2,0,race,Lafourche Parish,Louisiana,prison fight,3,
6,2/14/2017,Police: Davis hate crime suspect had 'aspirations' to kill,Davis Enterprise,Davis,CA,http://www.davisenterprise.com/local-news/crime-fire-courts/arrest-made-in-davis-mosque-vandalism/,,,,,,,,,,,,,,,
7,2/14/2017,"Fowler's 'Blue Lives Matter' bill is great tribute to our protectors, but...",Harrisburg Daily Register,Harrisburg,IL,http://www.dailyregister.com/news/20170214/fowlers-blue-lives-matter-bill-is-great-tribute-to-our-protectors-but,,,,,,,,,,,,,,,
8,2/14/2017,Arrest made after bacon strips left at California mosque,GoDanRiver.com,Danville,VA,http://www.godanriver.com/news/national/wire/arrest-made-after-bacon-strips-left-at-california-mosque/article_328bd862-8ba1-5277-91ad-8a9332604cd8.html,,,,,,,,,,,,,,,
9,2/14/2017,Arrest made after bacon strips left at California mosque - KSBY.com | San Luis Obispo and Santa Barbara Area News,KSBY San Luis Obispo News,San Luis Obispo,CA,http://www.ksby.com/story/34505277/arrest-made-after-bacon-strips-left-at-california-mosque,,,,,,,,,,,,,,,
10,2/14/2017,Report: San Diego violent crime rates lowest in decades,San Diego Gay & Lesbian News,San Diego,CA,http://sdgln.com/commentary/2017/02/14/report-san-diego-violent-crime-rates-lowest-decades,,,,,,,,,,,,,,,
11,2/14/2017,Blue Lives Matter Bills Would Make Targeting First Responders a Hate Crime,MyStateline.com,Rockford,IL,http://www.mystateline.com/news/blue-lives-matter-bills-would-make-targeting-first-responders-a-hate-crime/656154788,,,,,,,,,,,,,,,
12,2/15/2017,Reports Of 'Hate Crime' Are Exaggerated By Those Who Oppose Brexit,Heat Street,,,http://heatst.com/life/reports-of-hate-crime-are-exaggerated-by-those-who-oppose-brexit/,,,,,,,,,,,,,,,
13,2/15/2017,New bias crime dashboard shows increase in reports of Seattle hate violence,CHS Capitol Hill Seattle,Seattle,WA,http://www.capitolhillseattle.com/2017/02/new-bias-crime-dashboard/,,,,,,,,,,,,,,,
14,2/15/2017,Tulsa man charged in neighbor's killing to plead insanity,SFGate,San Francisco,CA,http://www.sfgate.com/news/crime/article/Tulsa-man-charged-in-neighbor-s-killing-to-plead-10934830.php,,,,,,,,,,,,,,,
15,2/15/2017,SPLC says number of anti-Muslim hate groups on the rise,Joplin Globe,Joplin,MO,http://www.joplinglobe.com/region/splc-says-number-of-anti-muslim-hate-groups-on-the/article_0e4cc7dc-cf41-5091-b5ac-b9c7a6f38e71.html,,,,,,,,,,,,,,,
16,2/15/2017,Watchdog: Number of anti-Muslim hate groups on the rise,Fairfield Citizen,Fairfield,Connecticut,http://www.fairfieldcitizenonline.com/news/crime/article/Watchdog-Number-of-anti-Muslim-hate-groups-on-10936714.php,,,,,,,,,,,,,,,
17,2/15/2017,Police investigate anti-Muslim flier at Louisiana mosque,Greensboro News & Record,Greensboro,NC,http://www.greensboro.com/ap/us_world/police-investigate-anti-muslim-flier-at-louisiana-mosque/article_ba2926cc-ab13-5b08-b5d0-4b321f85a011.html,,,,,,,,,,,,,,,
