Date,Title,Organization,City,State,URL,Keyword,Summary
4/6/2018,What most Americans get wrong about Islamophobia,Vox,Washington,DC,https://www.vox.com/2018/4/6/17169448/trump-islamophobia-muslims-islam-black-lives-matter,american beydoun caricature fbi hate islamic islamophobia muslim pew punish racialized rhetoric trump american beydoun caricature fbi hate islamic islamophobia muslim pew punish racialized rhetoric trump american beydoun caricature fbi hate islamic islamophobia muslim pew punish racialized rhetoric trump american beydoun caricature fbi hate islamic islamophobia muslim pew punish racialized rhetoric trump american beydoun caricature fbi hate islamic islamophobia muslim pew punish racialized rhetoric trump american beydoun caricature fbi hate islamic islamophobia muslim pew punish racialized rhetoric trump american beydoun caricature fbi hate islamic islamophobia muslim pew punish racialized rhetoric trump,"By Alexia Underwood Apr 6, 2018, 9:20am EDT      In one recent incident, an anonymous group in the UK declared Tuesday, April 3, to be “Punish a Muslim Day.” They circulated leaflets in several UK cities calling for people to attack Muslims in various"
4/6/2018,"Bethel Park Man Sentenced To Probation, Home Confinement For Hate Crime Attack",CBS Pittsburgh / KDKA,,,http://pittsburgh.cbslocal.com/2018/04/06/red-robin-anti-muslim-attack-sentencing/,attack bethel burgess cocaine east fatally fayette jeffrey man muslim park pennsylvania pittsburgh route wilkinsburg woman attack bethel burgess cocaine east fatally fayette jeffrey man muslim park pennsylvania pittsburgh route wilkinsburg woman attack bethel burgess cocaine east fatally fayette jeffrey man muslim park pennsylvania pittsburgh route wilkinsburg woman,"BETHEL PARK, Pa. (AP) – A Pennsylvania man who admitted violating the federal hate crimes law when he used anti-Muslim slurs and broke the jaw of another man while drunk at a restaurant has been spared a prison term.   A federal judge instead sentenced"
4/6/2018,Media Makes Wild Claim That Pulse Wasn't Hate Crime. Here Are The Facts,Advocate.com,Los Angeles,CA,https://www.advocate.com/media/2018/4/06/media-makes-wild-claim-pulse-wasnt-hate-crime-here-are-facts,attack disney fbi gay isis lgbt massacre mateen orlando pulse salman shooting state attack disney fbi gay isis lgbt massacre mateen orlando pulse salman shooting state attack disney fbi gay isis lgbt massacre mateen orlando pulse salman shooting state attack disney fbi gay isis lgbt massacre mateen orlando pulse salman shooting state,The trial in Orlando left some media theorizing that homophobia played no role in the massacre.       By Jacob Ogles  Pulse survivors still dealing with disappointment after the acquittal of the shooter's wife now deal with a new pain — this one delivered by
4/6/2018,Man who admitted anti-Muslim attack is spared prison term,newstalk990.com,Camden,NJ,https://newstalk990.com/news/religion/man-who-admitted-anti-muslim-attack-is-spared-prison-term,null,null
4/6/2018,Cops: Hate crimes probe of Westhampton Beach High vandalism,Newsday,New York,New York,https://www.newsday.com/long-island/crime/vandalism-westhampton-beach-high-school-1.17895349,beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth beach crimes hate highschool hitler mangano scrawlings suffolk swastika vandalism venditto westhampton youth,"By Newsday Staff Updated April 6, 2018 3:07 PM        Hate crimes detectives are investigating vandalism on the grounds of Westhampton Beach High School Friday morning.      Images from the scene show the vandalism included a swastika with the words “Hitler"
4/6/2018,"Bethel Park man gets probation, community service in federal hate crime assault",Pittsburgh Post-Gazette,Pittsburgh,PA,http://www.post-gazette.com/local/south/2018/04/06/Bethel-Park-Jeffrey-Burgess-probation-community-service-federal-hate-crime-assault/stories/201804060128,alcoholism arab bethel burgess crimes expletive hate hill judge mehta park probation red robin slurs south alcoholism arab bethel burgess crimes expletive hate hill judge mehta park probation red robin slurs south alcoholism arab bethel burgess crimes expletive hate hill judge mehta park probation red robin slurs south,"Jeffrey Burgess apologized Friday to Ankur Mehta for breaking his jaw at a South Hills Red Robin because he thought he was an Arab. US District Judge Nora Barry Fischer then sentenced him to three years of probation, four months of home confinement, 50"
4/6/2018,IL Hate Crime Leads to Police & Community Trainings,sikhcoalition.org,New York,NY,https://www.sikhcoalition.org/blog/2018/il-hate-crime-leads-police-community-trainings/,null,null
4/6/2018,FARAGE: Political Correctness and 'Hate Crime' Obsession Caused Crime Wave,Breitbart News,Venice Beach,CA,http://www.breitbart.com/london/2018/04/06/farage-political-correctness-hate-crime-obsession-crime-wave/,correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip correctness crime european farage hate home london members mep nigel parliament political rwmo2hhraa sadiqkhan search theresa ukip,"by Liam Deacon6 Apr 20180 “Political correctness has directly led to the murder rate going up in London,” former UKIP leader and Member of the European Parliament (MEP) Nigel Farage has argued. He pointed to the police's focus on 'hate crime' and the"
4/6/2018,Bi-national LGBTQ summit to be held in Tijuana,San Diego Gay & Lesbian News,San Diego,CA,http://sdgln.com/causes/2018/04/06/bi-national-lgbtq-summit-be-held-tijuana,binational border community diego fronteras lgbtq mexico orgullo pride summit tijuana binational border community diego fronteras lgbtq mexico orgullo pride summit tijuana,by San Diego Pride Press Release       The Tijuana LGBTQ community has been doing work towards the recognition of LGBTQ rights and identities in Mexico for years.     San Diego Pride is proud to announce that through a grant received from the American Consulate
4/6/2018,"Harris County deputies looking into possible hate crime, nurse targeted",The Venture,Houston,TX,https://www.theventureonline.com/2018/04/harris-county-deputies-looking-into-possible-hate-crime-nurse-targeted/,cair cypress dark freeway houston huffmeister knife medical muslim mustafaa north northwest office slurs suv victims white cair cypress dark freeway houston huffmeister knife medical muslim mustafaa north northwest office slurs suv victims white cair cypress dark freeway houston huffmeister knife medical muslim mustafaa north northwest office slurs suv victims white cair cypress dark freeway houston huffmeister knife medical muslim mustafaa north northwest office slurs suv victims white cair cypress dark freeway houston huffmeister knife medical muslim mustafaa north northwest office slurs suv victims white,"Harris County Sheriff's Office investigators are seeking the public's help in identifying a man suspected of slashing a woman with a knife while yelling anti-Muslim slurs at her.     The victim, a 25-year-old woman, told investigators that she was driving"
