lname,fname,handle_part,state,district,X115.St.Dis,Party,Replaced,stateabb,dist
Abraham,Ralph,RepAbraham,Louisiana,5,LA05,R,,LA,5
Adams,Alma,RepAdams,North Carolina,12,NC12,D,,NC,12
Arrington,Jodey,RepArrington,Texas,19,TX19,R,,TX,19
Barragán,Nanette,RepBarragan,California,44,CA44,D,,CA,44
Beatty,Joyce,RepBeatty,Ohio,3,OH03,D,,OH,3
Bishop,Sanford,SanfordBishop,Georgia,2,GA02,D,,GA,2
Blumenauer,Earl,repblumenauer,Oregon,3,OR03,D,,OR,3
Bonamici,Suzanne,RepBonamici,Oregon,1,OR01,D,,OR,1
Bost,Mike,RepBost,Illinois,12,IL12,R,,IL,12
Boyle,Brendan,CongBoyle,Pennsylvania,13,PA13,D,,PA,13
Brady,Robert,RepBrady,Pennsylvania,1,PA01,D,,PA,1
Bridenstine,Jim,RepJBridenstine,Oklahoma,1,OK01,,,OK,1
Burgess,Michael,michaelcburgess,Texas,26,TX26,R,,TX,26
Bustos,Cheri,RepCheri,Illinois,17,IL17,D,,IL,17
Butterfield,G.,GKButterfield,North Carolina,1,NC01,D,,NC,1
Byrne,Bradley,RepByrne,Alabama,1,AL01,R,,AL,1
Carbajal,Salud,RepCarbajal,California,24,CA24,D,,CA,24
Cárdenas,Tony,RepCardenas,California,29,CA29,D,,CA,29
Carter,Earl,RepBuddyCarter,Georgia,1,GA01,R,,GA,1
Carter,John,JudgeCarter,Texas,31,TX31,R,,TX,31
Cartwright,Matt,RepCartwright,Pennsylvania,17,PA17,D,,PA,17
Chaffetz,Jason,jasoninthehouse,Utah,3,UT03,R,John Curtis,UT,3
Clark,Katherine,RepKClark,Massachusetts,5,MA05,D,,MA,5
Cleaver,Emanuel,repcleaver,Missouri,5,MO05,D,,MO,5
Clyburn,James,Clyburn,South Carolina,6,SC06,D,,SC,6
Cohen,Steve,RepCohen,Tennessee,9,TN09,D,,TN,9
Comer,James,KYComer,Kentucky,1,KY01,R,,KY,1
Comstock,Barbara,RepComstock,Virginia,10,VA10,R,,VA,10
Conaway,K.,ConawayTX,Texas,11,TX11,R,,TX,11
Conyers,John,RepJohnConyers,Michigan,13,MI13,,no replacement,MI,13
Cuellar,Henry,RepCuellar,Texas,28,TX28,D,,TX,28
Culberson,John,CongCulberson,Texas,7,TX07,R,,TX,7
Cummings,Elijah,RepCummings,Maryland,7,MD07,D,,MD,7
Curbelo,Carlos,RepCurbelo,Florida,26,FL26,R,,FL,26
DeLauro,Rosa,rosadelauro,Connecticut,3,CT03,D,,CT,3
DelBene,Suzan,RepDelBene,Washington,1,WA01,D,,WA,1
DeSantis,Ron,RepDeSantis,Florida,6,FL06,,no replacement,FL,6
DeSaulnier,Mark,RepDeSaulnier,California,11,CA11,D,,CA,11
DesJarlais,Scott,DesJarlaisTN,Tennessee,4,TN04,R,,TN,4
Diaz-Balart,Mario,MarioDB,Florida,25,FL25,R,,FL,25
Espaillat,Adriano,RepEspaillat,New York,13,NY13,D,,NY,13
Esty,Elizabeth,RepEsty,Connecticut,5,CT05,D,,CT,5
Farenthold,Blake,farenthold,Texas,27,TX27,R,Mike Cloud,TX,27
Fleischmann,Charles,RepChuck,Tennessee,3,TN03,R,,TN,3
Foxx,Virginia,virginiafoxx,North Carolina,5,NC05,R,,NC,5
Frelinghuysen,Rodney,USRepRodney,New Jersey,11,NJ11,R,,NJ,11
Gallagher,Mike,RepGallagher,Wisconsin,8,WI08,R,,WI,8
Garamendi,John,RepGaramendi,California,3,CA03,D,,CA,3
Gonzalez,Vicente,RepGonzalez,Texas,15,TX15,D,,TX,15
Goodlatte,Bob,RepGoodlatte,Virginia,6,VA06,R,,VA,6
Gosar,Paul,RepGosar,Arizona,4,AZ04,R,,AZ,4
Gottheimer,Josh,RepJoshG,New Jersey,5,NJ05,D,,NJ,5
Griffith,H.,RepMGriffith,Virginia,9,VA09,R,,VA,9
Grothman,Glenn,RepGrothman,Wisconsin,6,WI06,R,,WI,6
Gutiérrez,Luis,RepGutierrez,Illinois,4,IL04,D,,IL,4
Hanabusa,Colleen,RepHanabusa,Hawaii,1,HI01,D,,HI,1
Hartzler,Vicky,RepHartzler,Missouri,4,MO04,R,,MO,4
Hastings,Alcee,RepHastingsFL,Florida,20,FL20,D,,FL,20
Hice,Jody,CongressmanHice,Georgia,10,GA10,R,,GA,10
Hill,J.,RepFrenchHill,Arkansas,2,AR02,R,,AR,2
Himes,James,jahimes,Connecticut,4,CT04,D,,CT,4
Holding,George,RepHolding,North Carolina,2,NC02,R,,NC,2
Hollingsworth,Trey,RepTrey,Indiana,9,IN09,R,,IN,9
Huizenga,Bill,RepHuizenga,Michigan,2,MI02,R,,MI,2
